State,Abbr
Alabama,AL
Arizona,AZ
Arkansas,AR
California,CA
Colorado,CO
Connecticut,CT
Delaware,DE
Florida,FL
Georgia,GA
Hawaii,HI
Illinois,IL
Indiana,IN
Iowa,IA
Kansas,KS
Kentucky,KY
Louisiana,LA
Maine,ME
Maryland,MD
Massachusetts,MA
Michigan,MI
Minnesota,MN
Mississippi,MS
Missouri,MO
Nebraska,NE
Nevada,NV
NewHampshire,NH
NewJersey,NJ
NewMexico,NM
NewYork,NY
NorthCarolina,NC
NorthDakota,ND
Ohio,OH
Oklahoma,OK
Oregon,OR
Pennsylvania,PA
RhodeIsland,RI
SouthCarolina,SC
SouthDakota,SD
Tennessee,TN
Texas,TX
Utah,UT
Virginia,VA
Washington,WA
Wyoming,WY
